date;Autres;Centres de santé;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Psychologues;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ accidents du travail;dont IJ acidents du travail;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont médicaments remboursés de ville;dont médicaments remboursés à 100%;dont médicaments remboursés à 15%;dont médicaments remboursés à 30%;dont médicaments remboursés à 65%;dont rétrocession hospitalière
2016-03-01;6653758.093728001;61653039.5503667;19269079.364;230893509.70952702;486719224.762113;822076733.5999999;442750332.32268804;265857156.537012;238630397.68;444231116.87;1625839560.4053705;50349071.748184;5496621.4725;;1717321.6371900002;14863210.807;18264586.014419;805064639.5755819;5842865856.805389;302536496.6557101;;231469664.4;590607069.2;-46875655.215;;991950112.01;6700701.5485;40222348.93187026;414466993.15;219375059.98
2016-04-01;15253065.521561;79356472.91997999;18857263.808;221356349.444908;452490448.9761742;817331837.5899999;440852919.6488319;260320159.86967;245416179.307;438750916.03;1608603610.4738362;45231146.50296199;5268521.92385;;1665030.04739;14993773.359;16839621.687505998;785731634.3289981;5759954278.437267;291635326.9976001;;232488239.94;584843597.65;-45763158.959364;;1001537021.9;5908108.8742;38185877.679;403626930.92;205108830.06
2016-05-01;7946253.448144999;63479075.4254;19757891.135;234063374.701736;470774122.5112249;820844975.89;444651550.367;275655450.895371;245025488.346;449180864.39;1642349054.990945;53536109.664280005;5672467.7288;;1737282.37501;15050250.247;18094637.814199;808711810.2310841;5880861375.011505;304330714.85030997;;229695149.68;591149826.21;-41968079.541555;;1013735083.6;5988166.6305;39386550.702;411661786.4;213545547.2
2016-06-01;7798245.396791;61562365.942530006;17927910.698;225839617.52528304;465857740.0834;831767275.84;449449171.89538497;270465441.7717;239857596.15500003;434872297.44;1603931049.9772904;49823356.08561799;5549125.9507;;1708382.57834;15086977.209;19187400.255757;793222657.4727061;5796841153.33381;302934541.05631;;235094750.33;596672525.51;-40261735.128373004;;994148356.83;5699786.8811;38574115.164563335;399254434.54;206516091.69
2016-07-01;5793156.553793001;62909324.76355998;19162698.322;227532876.91787;459603585.997664;815266373.28;448719150.64392805;261124884.01892;244265662.388;455647885.01;1612571177.4890702;51545818.069837004;5548865.7944;;1777469.00537;14377521.756;19151272.166176;801372347.0122449;5804555398.225893;298185329.03705996;;234033140.73;581233232.55;-40977580.21343;;1006575828.2;5809513.4865;39639153.036;400082399.77;201441863.21
2016-08-01;5571118.459668999;65875133.712879;17703850.61;241671633.66610098;470602539.916413;825782394.27;452810590.53133297;283185446.88488907;247551459.293;467887263.01;1644181064.5104535;60060781.65164;5850566.1898;;1906033.36944;14505979.004;20755745.864180997;825351731.383441;5964145986.93871;312892654.61147004;;235037080.86;590745313.4100001;-38934021.365122;;1017506377.5;5802281.8704;39226040.63517541;401430501.77;219149884.1
2016-09-01;3242771.3017520006;62536110.631974;18781832.444;236284390.57855;453520382.52778;830003435.0500001;455258114.43;278730892.44303703;245328386.047;451368675.86;1629668306.6894712;52175440.49011;5772178.3285300005;;1864887.84811;15107590.716;19974837.327949;819650259.7825379;5888954874.650251;309686382.15344995;;237220591.18;592782843.87;-37497448.004599996;;1013389299.1;5780148.736;38085025.938071296;391272494.65;218638786.27
2016-10-01;3435217.0527959997;62117511.299440004;18393887.302;225001156.83649302;452326571.266225;827317465.9899999;454839054.468;264745186.817;239794587.22500002;429672342.98;1640704989.7335951;52249998.848234005;5586266.695400001;;1859749.03997;14983440.725;19567193.716477003;795252644.7031751;5813250193.979747;305402929.28094;;238409231.01;588908234.98;-36755846.822004996;;1015533935.5;5786186.4816;39388813.424;395705518.79;221046382.36
2016-11-01;2109663.7459070003;64564595.89691;18695780.854;234333705.11898002;467465605.31694305;837004799.19;456406083.594;273243241.80600005;234921356.97300002;494802358.31;1669516452.7646;49848879.323699996;5692893.2866;;1947649.5629599998;14849927.062;20126593.759829;812027735.2115811;5971188954.88445;313631633.10744;;239772773.99;597232025.2;-38037052.802;;1022702654.5;6024522.5816;39380030.925;401510652.9;237935644.66
2016-12-01;690326.021173;62560114.239723;25642791.853;224701970.663072;471114636.77797705;845983479.0300001;459156381.634;267371992.989395;226291973.19099998;436891945.41;1632104926.8638241;47614859.04532;5399539.66981;;1910824.3662299998;17346904.179;19660471.19717;809883725.1120782;5865246541.109171;310919678.86640006;;236433723.12;609549755.91;-43072562.8776;;1007329831.6;6052451.8353;38769381.05612404;402948614.8;220077210.45
2017-01-01;2166746.530442;64086570.108369105;21323601.463;230591789.67345902;780889404.7956116;859891000.4899999;460122736.43700004;270275936.171659;240214503.19;445888850.85;1774006619.2135234;49164200.750879996;5524968.3359;;1854800.27228;15781875.334;19574388.433883;844214817.2636912;6392625987.469348;307053178.15564996;;245032276.32;614858724.17;70239926.3401;;1019531220.1;6513316.3915;40180955.37192344;400474643.69;237066557.32
2017-02-01;4264353.992036;64263961.73669;24548330.44;229986475.324427;431727867.3768099;810346930.0900002;458846530.30011606;267088024.87399998;247042598.21499997;458778716.96;1626479743.9012256;50567953.588599995;5500964.6105;;1956939.96121;15624568.15;19506898.534353998;802718033.0682629;5824440672.237341;305191781.11411005;;242515137.87;567831792.22;-41040829.9916746;;1014239430.1;5816076.2179;36686388.075;373654681.6;237123997.9
2017-03-01;3327223.545727;64377001.99148001;19998753.891;236976685.46324998;459655305.990145;844657987.0300001;462207625.871;278619352.453301;249393049.11299998;463628829.62;1656738614.4849734;53371154.72609;5941192.0971;;2030143.22947;16172006.511;20428934.450504;832155071.31085;5985783312.9946995;316104381.21581;;246838649.09;597819337.94;-43821273.6369438;;1031255914.1;5861003.2478;38362518.8041173;385438166.78;239642285.19
2017-04-01;6064532.086193;81447215.5541;20014320.775;223245045.86216104;442320394.32906914;861476280.22;462173273.32199997;265515987.28600004;234569150.39;466765177.01;1620681108.0527377;47785325.74621;5454924.9685;;1954881.99868;16053769.947;20108232.60728;792893679.7699022;5872153985.796343;303630685.87151;;252012440.61;609463839.61;-41596156.6805626;;1015414131.2;5432588.7013;37330670.412;374773873.39;229326001.03
2017-05-01;6505651.242372;65766683.42434;20219359.901;237103860.765569;497317085.732715;863860835.52;465297326.64684;281027272.54073006;243678536.07099998;471547512.8;1649571396.10133;53424227.227024;5822217.1967;;2033508.73508;16939789.323;21063720.95229;831048194.907712;6052150008.993901;319922829.9062;;249667475.05;614193360.47;-44276126.467177704;;1031029487.7;5714666.9649;38723977.05360783;386350294.83;232029096.02
2017-06-01;4157104.7617140003;65968512.03279;19796233.462;231871430.41661;488054131.5502;861101286.42;468668067.02211;277234456.0445;240735885.13099998;474285536.56;1671825685.8721097;52167736.378036;5719850.4962;;2100923.15976;16068921.294;20523999.436574;827352288.284195;6043717311.54828;316085263.22648007;;248437426.8;612663859.62;-40084375.644716;;1040225564.1;5486716.8838;38481775.963026;382280646.21;245435358.36
2017-07-01;6704296.493648;67963442.958553;20241513.91;238835535.00868002;496322456.498428;866289333.9100001;471837043.198795;285253459.48402;252353462.46799996;473047102.67;1682468985.014086;56514784.908879995;5842625.680199999;;2111113.93322;16420316.782;21047782.767481;844943079.309226;6126188246.990417;317991911.99520004;;247827957.84;618461376.07;-40199715.575914;;1046398403.1;5672721.021;38732054.949;390126142.88;241739378.64
