date;Autres;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont rétrocession hospitalière
2018-06-01;4297452.392179;20215399.81;238000603.2833;446447013.43403;910685931.62;487790023.78795004;285928952.21051;245799987.53100002;487121286.15;1644321790.2177014;53102145.860189;7461963.5499;2325131.55371;18852290.567;21760978.596999;860810287.339609;6150702295.917707;324330671.18828;646395673.27;-41979839.385910004;174736529.28
2018-07-01;5658484.160401002;18196185.826;242714677.58808002;447403890.51528007;910134906.6899999;489393501.11899996;291612928.20371;245472513.403;487969191.42;1641929270.7424;59633300.7836372;7982481.7149;2427656.2567200004;18265065.075;22427065.718870997;883177192.6035106;6178921382.623575;330404501.1578533;645919548.47;-40010371.5514;177968912.53
2018-08-01;3504058.9248440005;18134245.146;239570063.28201997;445484023.1223279;918540657.92;497624891.52198285;289367168.01500005;245494578.73200002;510422746.41;1679635264.2164717;59842687.25579;8456229.2333;2459567.6115800003;18887432.276;22803474.668912;876780742.7012688;6242240935.213181;330972407.2423899;651738683.48;-36839098.422963;193827675.6
2018-09-01;3627000.8347440003;19272255.302;233292701.15054;584349285.3516589;908329904.52;495737402.512;291480096.018;243487719.714;478952800.12;1642008361.6404808;55707556.030257;8052858.978700001;2496381.95526;19539924.532;22347977.204184998;860838609.96594;6272040682.08172;328219769.61468995;641786014.6;-33955512.983219095;182861912.81
2018-10-01;5101456.589317999;19711387.989;242955515.02435;446726243.7344725;912797388.01;494988152.11800003;292828806.62975;241740706.311;503862033.14;1702393960.8771;57341376.16197;8269038.243299999;2622508.43964;19128079.248;22951755.867211;871970656.7159218;6243684744.132919;324049922.28305;643104215.7;-38008153.3319;184638345.23
2018-11-01;3222855.742634;20142187.059;234145918.41641;591694266.1083901;909503934.47;497192761.56200004;286011006.20900005;235353311.077;497339550.9;1664301946.081;53986771.4692;8002893.2585;2384618.20241;19182341.174;22331394.592031;871497499.3526216;6309840755.474793;317004175.6623;642393271.26;-36852468.222399995;175102474.99
2018-12-01;1667776.3390539999;20899783.256;237861603.50078;584180983.6761916;915754176.2800001;500250844.79300004;285062021.937;227339557.621;494996906.96;1672988956.3972;56080055.44794001;8161791.4282;2577213.5885;11433388.729;23073085.019457;865851645.7712308;6302741058.686459;319645684.29710996;643195973.68;-37311061.363699995;189104097.23
2019-01-01;12970818.015747001;14466565.995;233440311.00698;774626985.933122;919187074.01;499002740.06200004;288624348.1394;246420737.053;517652361.18;1780439702.4056997;53894888.12192;8680911.310800001;2574356.98166;19281754.156;22754271.071121003;912228537.6331351;6718736852.800605;310971553.1927899;638370695.51;67253721.3857;175274113.32
2019-02-01;2048494.0153470002;18987423.036;237997128.36576998;447726203.9082853;921710740.25;499995797.00649995;289373007.7827;249158439.97300002;502669347.58;1676416829.8628998;55999367.28770799;8857814.294799998;2574044.54837;18819657.286;23521661.728034005;871038458.113906;6226209601.57588;321505892.35507;645412996.92;-43211099.4571;176122587.72
2019-03-01;2096664.5042530003;18912633.179;252744510.66777003;432521984.9889562;915252602.94;502968861.13904905;293721053.23349994;251354328.98799998;500259394.09;1643486698.2598753;55487925.00084;8832778.5953;2616319.56998;19040753.539;24101834.417111997;869831362.546888;6187389753.925971;314396036.95228004;637273484.95;-39081970.310124494;170511107.27
2019-04-01;7466070.811864001;19635676.002;234514919.68714002;445436741.6074;950564515.01;504926164.02599996;293120305.37654006;246154908.30200002;512903542.32;1694467491.1628745;55917272.93851;8793748.3144;2667874.49113;19339179.392;24700570.201302998;873035863.7082019;6289960791.555353;320591999.79018;664156740.0799999;-41017288.1171257;182637191.78
2019-05-01;6839532.516732;17855867.675;243253332.19211;442956372.5304;968645194.4100001;510723183.32826;296582628.21579003;252166257.222;511350294.01;1657265943.6389012;55264334.09925;8625522.6203;2575821.19966;19243777.75;24559707.483242;875247083.1375557;6289669686.929732;317521972.80267;676413258.25;-40397926.34109878;175550299.28
2019-06-01;3802331.051786;18255388.93;243900617.59504002;596729824.81993;926197486.22;508980652.16435003;290739162.35072;247844853.155;510063073.31;1681952259.3209853;54922868.902890004;8716618.957799999;2727010.0760899996;19626572.588;24171294.268893;865402363.0828633;6397252344.3209;311351363.18038;644450053.09;-37594866.33901494;175832122.26
2019-07-01;2850507.696784;18067573.269;247309802.09191;445766983.3306;951789130.45;511334245.814665;295929660.54072005;249141965.16199997;511015002.33;1692457603.035041;60744213.76132999;9503975.7475;2707509.0016699997;19477001.044;24676522.072754998;894979127.505442;6345441476.047077;323011607.66969;664648296.2;-41147286.234959;176606066.87
2019-08-01;1587676.9099730002;18477476.089;241605045.62227997;436905449.31316996;971036587.16;516632682.0009999;298345105.2771;254050107.77999997;526366208.18;1723145466.2845738;60127177.49526;9562063.287;2682566.5788999996;19188582.728;25279627.292215;888906112.1829098;6395462307.373532;319347817.4853199;678185010.61;-36562559.16542612;174510392.35
2019-09-01;4078052.923205001;20138200.37;248835202.390394;593583022.8935969;946069513.52;515517190.847;302484402.218;244128842.56200004;507513614.71;1688983512.393;59095422.01298001;9506243.5221;2818588.6068100003;20363599.427;25547077.673024002;897347411.3986208;6500977051.539066;324898580.75107;661974349.8;-37883882.187;171842259.58
2019-10-01;3137421.610896;16622607.445;242381631.97123;429129330.54556996;965688742.4100001;512878175.138;294714906.42612;241782127.1521;514464127.71;1700837331.7298996;56156121.10521;9128413.945099998;2815680.65568;20842524.301;25367614.929277997;881990474.8996699;6323452945.884191;324290313.49309003;671204554.5;-38110113.4901;165538130.56
2019-11-01;4896982.762305;21052020.699;247641747.88720995;602737685.48499;977924597.3499999;518596631.301;300576029.93158;256013704.427;536789175.27;1739017333.0177999;58610540.30103;9551043.633399999;2810865.9993000003;21312664.471;26012745.436460998;900005967.728357;6643442806.889225;331702569.82019997;680256324.22;-36709517.8722;164237513.64
2019-12-01;1940987.804399;15236206.719;245884451.4157;630126342.690548;950674710.3799999;519965313.4265;294287106.78954;251370979.4794;509635079.74;1690402807.4074;56314074.936836995;9074571.4634;2891233.13903;40508720.172;26099317.31032;899426206.86667;6550731788.579101;328139085.39027995;665705087.39;-38503608.18260001;163333267.51
2020-01-01;30999389.295799997;22904109.612;268333988.42569196;847530296.2196879;1008542178.8970001;548620215.1312759;316705711.60520005;270478417.55300003;543182348.51;1872054920.6944995;60921817.782800004;9752071.0336;3052635.57533;20170355.238;27739930.955381997;1027327538.5397611;7341258302.336845;346593190.91442996;709201048.0270001;23351152.9745;171969854.62
